ID,标题,地址,户型,面积,朝向,关注信息,总价,单价,创建时间
1,高碑店地铁 南北通透 南侧正对花园必看好房,2室1厅 | 58.8平米 | 南 北 | 精装 | 6层  | 板楼,2室1厅,58.8,南 北,37人关注 / 4个月以前发布,230.0,39.0,2025-03-20 20:32:36
2,世纪东方城南区 2室1厅 东 西必看好房,2室1厅 | 83.05平米 | 东 西 | 精装 | 底层(共21层)  | 板塔结合,2室1厅,83.05,东 西,12人关注 / 4个月以前发布,428.0,51.0,2025-03-20 20:32:36
3,禾香雅园小区  正规南北户型 好位置好楼层 精装修必看好房,2室1厅 | 87.25平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,2室1厅,87.25,南 北,7人关注 / 1个月以前发布,258.0,29.0,2025-03-20 20:32:36
4,龙城花园W区 一层南北通透，仅1%契税，诚售！必看好房,3室2厅 | 191.51平米 | 南 北 | 简装 | 底层(共4层) | 1997年 | 板楼,3室2厅,191.51,南 北,23人关注 / 1个月以前发布,980.0,51.0,2025-03-20 20:32:36
5,首创新悦都一区 南北通透必看好房,3室2厅 | 88.44平米 | 南 北 | 精装 | 低楼层(共17层) | 2015年 | 板楼,3室2厅,88.44,南 北,6人关注 / 4个月以前发布,295.0,33.0,2025-03-20 20:32:36
6,望都新地 2室2厅 南 北必看好房,2室2厅 | 89.73平米 | 南 北 | 简装 | 6层 | 2009年 | 板楼,2室2厅,89.73,南 北,6人关注 / 28天以前发布,282.0,31.0,2025-03-20 20:32:36
7,西城广安门外小红庙南北通透三居，户型方正必看好房,3室1厅 | 65.73平米 | 南 北 | 简装 | 底层(共6层)  | 板楼,3室1厅,65.73,南 北,26人关注 / 1个月以前发布,597.0,90.0,2025-03-20 20:32:36
8,房子是2004年的，高楼层，采光充足，近地铁。必看好房,2室1厅 | 86.74平米 | 南 北 | 简装 | 6层 | 2004年 | 板楼,2室1厅,86.74,南 北,37人关注 / 5个月以前发布,143.0,16.0,2025-03-20 20:32:36
9,万盛北里 满五年唯一 南北通透 不临街不把边必看好房,3室1厅 | 110.54平米 | 南 北 | 简装 | 底层(共6层)  | 板楼,3室1厅,110.54,南 北,16人关注 / 1个月以前发布,430.0,38.0,2025-03-20 20:32:36
10,海淀区西三旗，南北通透两居，小区中间位置必看好房,2室1厅 | 61.92平米 | 北 南 | 简装 | 顶层(共6层)  | 板楼,2室1厅,61.92,北 南,6人关注 / 8天以前发布,289.0,46.0,2025-03-20 20:32:36
11,知春路南北通透两居满五年客厅朝南带阳台。必看好房,2室1厅 | 68.24平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2室1厅,68.24,南 北,63人关注 / 8个月以前发布,610.0,89.0,2025-03-20 20:32:36
12,华馨园 2室1厅 南 北必看好房,2室1厅 | 84.28平米 | 南 北 | 精装 | 低楼层(共6层) | 2002年 | 板楼,2室1厅,84.28,南 北,19人关注 / 15天以前发布,245.0,29.0,2025-03-20 20:32:36
13,人民日报社精装修三居室，物业管理好，拎包入住必看好房,3室1厅 | 70.05平米 | 西南 北 | 精装 | 底层(共16层) | 1991年 | 塔楼,3室1厅,70.05,西南 北,13人关注 / 15天以前发布,468.0,66.0,2025-03-20 20:32:36
14,丽都水岸1期  全南向两居室  双地铁  精装必看好房,2室1厅 | 120.95平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,2室1厅,120.95,南,32人关注 / 2个月以前发布,848.0,70.0,2025-03-20 20:32:36
15,天坛公园旁朝西一居 采光好 无遮挡必看好房,1室1厅 | 43.21平米 | 西 | 简装 | 中楼层(共7层)  | 板楼,1室1厅,43.21,西,13人关注 / 一年前发布,329.0,76.0,2025-03-20 20:32:36
16,西潞东里社区 3室1厅 南 北必看好房,3室1厅 | 165.11平米 | 南 北 | 精装 | 顶层(共13层) | 2007年 | 板塔结合,3室1厅,165.11,南 北,2人关注 / 8天以前发布,318.0,19.0,2025-03-20 20:32:36
17,房子满五年，门口位置，业主诚意出售，有钥匙随时看必看好房,2室1厅 | 87.75平米 | 西北 | 简装 | 低楼层(共14层) | 2011年 | 塔楼,2室1厅,87.75,西北,25人关注 / 2个月以前发布,173.0,19.0,2025-03-20 20:32:36
18,西山枫林三期必看好房,2室2厅 | 94.35平米 | 东 西 | 精装 | 中楼层(共10层) | 2006年 | 板楼,2室2厅,94.35,东 西,7人关注 / 15天以前发布,455.0,48.0,2025-03-20 20:32:36
19,怡海花园 南北两居低楼层 看房随时必看好房,2室1厅 | 83.86平米 | 南 北 | 简装 | 低楼层(共6层) | 2001年 | 板楼,2室1厅,83.86,南 北,27人关注 / 3个月以前发布,470.0,56.0,2025-03-20 20:32:36
20,满五年唯一商品房，中高楼层，采光好视野好，无遮挡必看好房,3室1厅 | 118.23平米 | 西南 北 | 精装 | 28层 | 2001年 | 塔楼,3室1厅,118.23,西南 北,7人关注 / 3个月以前发布,550.0,46.0,2025-03-20 20:32:36
21,新龙城电梯三居，满五唯一，看房便利，视野好诚意卖必看好房,3室2厅 | 116.96平米 | 南 北 | 精装 | 8层  | 板楼,3室2厅,116.96,南 北,134人关注 / 7个月以前发布,599.0,51.0,2025-03-20 20:32:36
22,地铁望京西板楼中间层2室1厅，双阳台，看房方便必看好房,2室1厅 | 75.64平米 | 西北 | 简装 | 中楼层(共6层)  | 板楼,2室1厅,75.64,西北,24人关注 / 2个月以前发布,325.0,42.0,2025-03-20 20:32:36
